0,0,0,24.927,24.927
1.053,0,0,24.927,24.927
2.056,0,0,24.927,24.927
3.051,0,0,24.927,24.927
4.055,0,0,24.927,24.927
5.056,0,0,24.927,24.927
6.058,0,0,24.927,24.927
7.055,0,0,24.927,24.927
8.056,0,0,24.927,24.927
9.056,100,0,24.927,24.927
10.055,100,0,24.927,24.927
11.051,100,0,24.927,24.927
12.048,100,0,24.927,24.927
13.052,100,0,24.927,24.927
14.053,100,0,25.415,24.927
15.052,100,0,25.415,24.438
16.047,100,0,25.415,24.927
17.05,100,0,25.904,24.927
18.055,100,0,26.393,24.927
19.059,100,0,26.393,24.927
20.058,100,0,26.882,24.927
21.062,100,0,27.37,24.927
22.058,100,0,27.37,24.927
23.057,100,0,27.859,24.927
24.056,100,0,28.837,24.927
25.055,100,0,28.837,24.927
26.054,100,0,29.326,24.927
27.058,100,0,29.814,24.927
28.057,100,0,30.303,24.927
29.055,100,0,30.792,24.927
30.053,100,0,31.281,24.927
31.047,100,0,31.281,24.927
32.045,100,0,32.258,24.927
33.046,100,0,32.747,24.927
34.05,100,0,33.236,24.927
35.049,100,0,34.213,24.927
36.046,100,0,34.213,25.415
37.04,100,0,35.191,25.415
38.041,100,0,35.679,25.415
39.039,100,0,36.168,25.415
40.039,100,0,36.657,25.415
41.036,100,0,37.634,25.415
42.04,100,0,38.123,25.415
43.04,100,0,38.612,25.415
44.032,100,0,39.101,25.415
45.032,100,0,40.078,25.415
46.036,100,0,40.567,25.415
47.04,100,0,41.056,25.415
48.039,100,0,41.544,25.904
49.031,100,0,42.522,25.415
50.027,100,0,43.011,25.904
51.024,100,0,43.5,25.904
52.026,100,0,44.477,25.904
53.027,100,0,44.966,25.904
54.019,100,0,45.943,25.904
55.017,100,0,46.432,26.393
56.022,100,0,46.921,26.393
57.025,100,0,47.41,26.393
58.02,100,0,48.387,26.393
59.024,100,0,48.876,26.393
60.023,100,0,49.365,26.393
61.024,100,0,50.342,26.882
62.016,100,0,50.831,26.393
63.017,100,0,51.808,26.882
64.019,100,0,52.297,26.882
65.012,100,0,52.786,27.37
66.012,100,0,53.763,26.882
67.011,100,0,54.252,27.37
68.009,100,0,55.23,27.37
